담당자 이름,부서명,제목,등록일,전화번호,조회수,URL
이종근,청소년활동안전과,2023년 청소년수련시설 종합 평가 및 안전위생점검 결과,2023-12-29,02-2100-6269,571,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704831
박윤호 ,학교밖청소년지원과,2023년 위기청소년 특별지원 사업,2023-10-05,02-2100-6315,12891,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704741
김흥식,학교밖청소년지원과,학교 밖 청소년 지원센터 현황,2023-08-24,02-2100-6317,14221,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=205
김태형,청소년보호환경과,2022년 청소년 매체이용 및 유해환경 실태조사,2023-08-02,02)2100-6293,2139,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704830
전재은,청소년정책과,2023년 중앙 및 지자체 청소년정책 시행계획,2023-07-25,02)2100-6237,1977,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704829
이재영,청소년정책과,청소년 푸른성장대상,2023-07-13,02)2100-6242,810,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704828
이재영,청소년정책과,2023년 청소년 육성 및 보호 유공 포상 계획,2023-07-13,02)2100-6242,707,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704827
이재영,청소년정책과,2022년 청소년증 발급현황,2023-07-13,02)2100-6242,967,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704826
김태형,청소년보호환경과,청소년 유해매체물 고시,2023-06-28,02-2100-6302,11953,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=154
전재은,청소년정책과,2022년 청소년백서,2023-05-18,02)2100-6237,7868,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704825
김설희,청소년정책과,2023년 청소년 사업 안내(서식 추가),2023-05-02,02)2100-6235,10917,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704819
오주윤,학교밖청소년지원과,2023 학교 밖 청소년 지원 안내서,2023-04-10,02)2100-6318,2221,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704824
박정희,청소년활동진흥과,2023년도 청소년 방과후아카데미 운영 기관,2023-03-24,02-2100-6259,6494,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=192
박정희,청소년활동진흥과,2023년도 청소년 방과후아카데미 사업 지침,2023-03-24,02-2100-6259,17102,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=191
정효진,청소년활동진흥과,청소년활동정보서비스 등록 프로그램 운영현황,2023-03-23,02-2100-6248,4615,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=196
최윤정,청소년활동안전과,2022년 청소년수련활동 인증현황,2023-03-22,02)2100-6267,460,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704822
조준홍,청소년활동안전과,2022년도 청소년수련시설 현황,2023-03-13,02)2100-6266,1515,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704821
전재은,청소년정책과,제7차 청소년정책기본계획(2023-2027),2023-02-28,02)2100-6237,4839,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704823
이명주,청소년정책과,2023년  지자체 청소년정책 실무자교육 교육자료,2023-02-27,02)2100-6241,1008,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704820
조선경,청소년활동진흥과,2023년 수련시설 청소년운영위원회 사업 지침,2023-02-10,02)2100-6249,1690,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704818
이경민,청소년활동안전과,2022년 청소년수련시설 종합 평가 및 안전위생점검 결과,2023-01-10,02)2100-6269,1446,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704817
조준홍,청소년활동안전과,2023년도 청소년수련시설 관리운영 지침,2022-12-30,02)2100-6266,3800,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704816
이재영,청소년정책과,여성청소년 생리대 바우처 지원,2022-09-16,02-2100-6242,1194,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704815
원철연,학교밖청소년지원과,이주배경청소년 지원사업 현황,2022-08-24,02-2100-6314,6442,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=202
전재은,청소년정책과,2022년 중앙 및 지자체 청소년정책 시행계획,2022-08-01,02)2100-6237,1684,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704814
손동락,청소년보호환경과,청소년유해매체물 심의기구 현황,2022-06-22,02-2100-6299,788,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704812
손동락,청소년보호환경과,청소년유해매체물의 심의 기준 참고자료,2022-06-16,02-2100-6299,1142,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704809
전재은,청소년정책과,2021 청소년백서,2022-04-18,02)2100-6237,10947,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704810
손동락,청소년보호환경과,2022년 청소년보호분야 민간보조(공모)사업 선정결과 공고,2022-03-15,02-2100-6299,538,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704808
조준홍,청소년활동안전과,2021년도 청소년수련시설 현황,2022-03-07,02)2100-6266,2112,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704806
최윤정,청소년활동안전과,2021년 청소년수련활동인증현황,2022-03-03,02)2100-6267,458,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704805
김설희,청소년정책과,2022년 청소년사업안내,2022-02-15,02)2100-6235,17418,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704803
조준홍,청소년활동안전과,2022년도 청소년수련시설 관리운영 지침,2022-01-03,02)2100-6266,3786,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704802
김초혜,청소년활동안전과,2021년 청소년수련시설 종합 평가 및 안전위생점검 결과,2021-12-27,02)2100-6269,951,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704801
오주윤,학교밖청소년지원과,학교 밖 청소년 지원 안내서,2021-10-26,02)2100-6318,2291,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704800
김초혜,청소년활동안전과,2020 청소년수련시설 안전위생점검 및 종합평가 결과,2021-08-30,02-2100-6269,665,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704798
전재은,청소년정책과,2020년 청소년종합실태조사,2021-08-04,02)2100-6237,19257,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704797
전재은,청소년정책과,2021년 중앙 및 지자체 청소년정책 시행계획,2021-07-08,02)2100-6237,2304,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704796
전재은,청소년정책과,2020 청소년백서,2021-04-26,02)2100-6237,11089,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704794
차경선,청소년보호환경과,2020년 청소년 매체이용 및 유해환경 실태조사 결과,2021-04-01,02-2100-6293,12194,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704793
김초혜,청소년활동안전과,2020년 청소년수련시설 종합 평가 및 안전점검 결과발표,2021-03-09,02)2100-6269,1306,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704792
조준홍,청소년활동안전과,2020년도 청소년수련시설 현황,2021-03-02,02)2100-6266,3398,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704791
최윤정,청소년활동안전과,2020년 청소년수련활동인증현황,2021-02-22,02)2100-6267,749,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704789
김설희,청소년정책과,2021년 청소년사업안내,2021-02-22,02)2100-6235,16429,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704787
조준홍,청소년활동안전과,2021년도 청소년수련시설 관리운영 지침,2021-01-07,02)2100-6266,1615,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704788
전재은,청소년정책과,2020년 중앙 및 지자체 청소년정책 시행계획,2020-12-17,02)2100-6237,3936,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704786
김흥식,학교밖청소년지원과,학교 밖 청소년 지원,2020-10-21,02-2100-6317,12208,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=204
조준홍,청소년활동안전과,"임대형민자사업 국립청소년수련원(영덕,김제) 실시협약서",2020-10-01,02)2100-6266,478,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704785
김설희,청소년정책과,2020년 청소년사업 안내,2020-06-04,02)2100-6235,17411,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704774
조준홍,청소년활동안전과,"임대형민자사업(BTL) 성과평가 결과 공개 (2020년 1분기, 누적)",2020-06-03,02)2100-6266,706,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704777
최윤정,청소년활동안전과,2019년 청소년수련활동인증현황,2020-05-29,02-2100-6267,287,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704781
전재은,청소년정책과,2019 청소년백서,2020-04-02,02)2100-6237,10395,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704776
조준홍,청소년활동안전과,2019년도 청소년수련시설 현황,2020-03-31,02)2100-6266,2508,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704775
강소연,청소년보호환경과,심야시간대 인터넷게임의 제공시간 제한 대상 게임물 범위,2020-02-03,02-2100-6292,3045,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704734
조준홍,청소년활동안전과,2020년도 청소년수련시설 관리운영 지침,2020-01-29,02)2100-6266,3677,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704773
김초혜,청소년활동안전과,2019 청소년수련시설 안전위생점검 및 종합평가 결과 발표,2019-12-26,02-2100-6269,1519,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704772
김초혜,청소년활동안전과,2019년 행안부 국가안전대진단 관련 청소년수련시설 점검결과,2019-07-29,02)2100-6269,1250,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704769
전재은,청소년정책과,2019년 중앙 및 지자체 청소년정책 시행계획,2019-04-08,02)2100-6237,4476,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704768
최윤정,청소년활동안전과,숙박형 등 청소년수련활동 계획의 정보,2019-04-03,02-2100-6267,2397,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=179
전재은,청소년정책과,2018 청소년백서,2019-03-29,02)2100-6237,8559,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704767
차경선,청소년보호환경과,2018년 청소년 매체이용 및 유해환경 실태조사 ,2019-03-28,02-2100-6293,7062,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704766
최윤정,청소년활동안전과,2018년도 청소년수련시설 현황,2019-03-18,02)2100-6267,2549,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704765
최윤정,청소년활동안전과,2018년도 청소년수련활동 인증현황,2019-03-18,02)2100-6267,425,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704764
김민지,청소년정책과,2019년 지자체 청소년사업 담당자 워크숍 자료,2019-01-30,02)2100-6235,1071,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704762
김민지,청소년정책과,2019년 청소년사업 안내,2019-01-18,02)2100-6235,15031,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704761
김봉두,청소년활동안전과,2019년도 청소년수련시설 관리운영 지침,2018-12-28,02)2100-6263,4776,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704760
김초혜,청소년활동안전과,2018년도 청소년수련시설 종합평가 및 종합안전위생점검 실시 결과 ,2018-12-27,02)2100-6269,1883,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704759
전재은,청소년정책과,청소년 육성 5개년 계획 연도별 시행계획,2018-11-02,02-2100-6237,3158,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704757
조재현,청소년보호환경과,청소년보호 업무 관련 개선사항 모음(8월) ,2018-07-24,02)2100-6302,1900,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704755
전재은,청소년정책과,2018년 중앙 및 지자체 청소년정책 시행계획,2018-07-03,02)2100-6237,3039,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704754
박성수,청소년활동안전과,2018년 국가안전대진단 점검결과 지적사항,2018-05-10,02)2100-6268,667,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704752
조재현,청소년보호환경과,2014 청소년 유해환경 접촉 종합 실태조사,2018-04-26,02)2100-6302,2040,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704750
김초혜,청소년활동안전과,청소년수련시설 현황(17.12.31. 기준),2018-04-23,02-2100-6269,2699,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704746
유병구,청소년활동안전과,2017 청소년수련시설 안전점검 결과,2018-04-23,02-2100-6264,741,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704743
김초혜,청소년활동안전과,2017 청소년수련시설 종합평가 결과,2018-04-23,02-2100-6269,2118,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704742
전재은,청소년정책과,2017 청소년백서,2018-03-12,02)2100-6237,11788,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704749
전재은,청소년정책과,제6차 청소년정책기본계획(2018-2022) ,2018-03-06,02)2100-6237,34713,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704748
김민지,청소년정책과,2018년 청소년사업 안내,2018-02-22,02-2100-6235,13220,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704747
김민지,청소년정책과,[업무매뉴얼]2018년 청소년사업 안내,2018-02-19,02-2100-6235,742,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704758
전재은,청소년정책과,2017 청소년종합실태조사 결과보고서,2018-01-22,02-2100-6237,10754,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704744
유병구,청소년활동안전과,2017 청소년수련활동인증프로그램 인증현황 ,2018-01-10,02-2100-6264,805,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704740
조정우,청소년활동진흥과,청소년활동서비스 등록 프로그램 현황,2018-01-09,02-2100-6258,1872,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=195
김봉두,청소년활동안전과,2018년도 청소년수련시설 관리운영 지침 알림,2018-01-01,02-2100-6263,1647,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704745
전재은,청소년정책과,2017년 청소년정책 시행계획(중앙 및 지자체),2017-11-20,02)2100-6237,2762,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704739
조재현,청소년보호환경과,2016년 청소년 매체이용 및 유해환경 실태조사,2017-11-13,02)2100-6298,1972,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704738
이소연,청소년보호환경과,청소년보호 업무 관련 개선사항 모음(9월),2017-09-01,02)2100-6302,1222,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704737
이소연,청소년보호환경과,청소년보호 업무 관련 개선사항 모음(8월),2017-08-21,02)2100-6302,1198,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704736
김윤경,청소년활동진흥과,2023년 세계잼버리 유치기원 홍보물 ,2017-06-14,02-2100-6248,5569,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704735
김윤경,청소년활동진흥과,청소년 나라사랑체험프로그램 모집공고,2017-05-12,02-2100-6248,888,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=189
김민지,청소년정책과,청소년사업안내,2017-04-17,02-2100-6235,5134,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=172
전재은,청소년정책과,2016 청소년백서,2017-04-14,02-2100-6237,12253,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704728
조의성,청소년정책과,청소년증 발급신청서 및 발급신청서 확인서,2017-04-13,02)2100-6241,12852,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704731
홍승우,청소년활동안전과,청소년수련시설 종합안전점검 결과,2017-04-12,2100-6266,1058,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=180
황별이,청소년정책과,청소년 육성 5개년 계획 연도별 시행계획,2017-04-12,02-2100-6236,4054,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=169
황별이,청소년정책과,청소년 육성 5개년 계획,2017-04-12,02-2100-6236,4621,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=168
홍승우,청소년활동안전과,청소년수련시설현황,2017-04-05,2100-6266,3295,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=182
홍승우,청소년활동안전과,청소년수련시설 종합평가 결과,2017-04-05,2100-6266,2697,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=181
이소연,청소년보호환경과,2016년 청소년 음주·흡연예방 랩힙합공모전 당선작 모음 영상,2017-03-21,02-2100-6302,1458,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704730
이진,청소년정책과,2017년 청소년사업 안내,2017-01-09,02-2100-2635,10031,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704727
홍승우,청소년활동안전과,2017년도 청소년수련시설 관리운영 지침 안내,2017-01-04,02)2100-6266,2977,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704725
전재은,청소년정책과,2016년도 중앙 및 지자체 청소년정책시행계획,2016-12-30,02)2100-6237,1595,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704701
조의성,청소년정책과,"청소년증, 이렇게 이용해요!",2016-10-17,02)2100-6241,5012,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704043
송효준,청소년정책과,"제5차 청소년정책기본계획 2016년 시행계획(중앙, 지자체)",2016-07-29,02)2100-6237,5327,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=703562
강병관,청소년활동안전과,청소년수련활동인증프로그램 인증현황,2016-06-15,02-2100-6264,1980,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=184
김윤경,청소년활동진흥과,청소년 나라사랑체험프로그램 선정결과,2016-03-03,02-2100-6248,535,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=190
송효준,청소년정책과,2015 청소년백서,2016-02-19,02)2100-6237,10963,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=701646
노혜란,청소년정책과,2016년 청소년사업안내(지침),2016-01-27,02)2100-6000,10005,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=701395
조혜승,청소년정책과,청소년종합실태조사,2016-01-04,02-2100-6232,8763,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=175
전재은,청소년정책과,청소년가치조사,2016-01-04,02-2100-6237,1513,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=170
조의성,청소년정책과,청소년증 홍보 웹툰,2015-09-23,02)2100-6241,4955,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=700279
조의성,청소년정책과,대한민국청소년앱 설치 및 이용 안내,2015-06-03,02)2100-6241,3515,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=696559
송효준,청소년정책과,2015년 중앙 및 지자체 청소년정책시행계획,2015-05-21,02)2100-6237,6334,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=700314
전재은,청소년정책과,2015년 중앙 및 지자체 청소년정책시행계획,2015-05-21,02)2100-6237,3828,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=696997
노혜란,청소년정책과,2015년 청소년사업안내(지침),2015-02-27,02)2100-6000,11729,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=695790
조선하,청소년정책과,2014 청소년참여위원회 우수사례집,2015-02-23,02)2100-6239,5344,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=695738
전재은,청소년정책과,2014 청소년백서,2015-02-13,02)2100-6237,14103,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=695714
조선하,청소년정책과,2014 청소년종합실태조사 결과보고서,2015-01-27,02)2100-6239,12460,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=695631
안혜정,청소년정책과,청소년증 홍보 자료(인포그래픽),2014-08-20,02)2100-6242,5306,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=694742
전재은,청소년정책과,2014년 청소년정책기본계획 시행계획(중앙 및 지자체),2014-07-25,02)2100-6237,9917,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=694620
안혜정,청소년정책과,청소년헌장,2014-07-08,02)2100-6242,12510,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=694564
